,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist,Track,Album,Track ID,language
19,0.735,0.497,1,-8.467,1,0.0265,0.655,0.000354,0.104,0.571,116.12,audio_features,6VWWU8EFSS7Xx1TZ830Paz,spotify:track:6VWWU8EFSS7Xx1TZ830Paz,https://api.spotify.com/v1/tracks/6VWWU8EFSS7Xx1TZ830Paz,https://api.spotify.com/v1/audio-analysis/6VWWU8EFSS7Xx1TZ830Paz,302493,4,Mecano,Cruz de navajas,Entre el Cielo y el Suelo (Bonus Tracks Edition),6VWWU8EFSS7Xx1TZ830Paz,Spanish
20,0.625,0.476,11,-11.537,0,0.0268,0.187,0.000433,0.088,0.135,113.531,audio_features,4nheObMzE4K8AIxIICoLgd,spotify:track:4nheObMzE4K8AIxIICoLgd,https://api.spotify.com/v1/tracks/4nheObMzE4K8AIxIICoLgd,https://api.spotify.com/v1/audio-analysis/4nheObMzE4K8AIxIICoLgd,248373,4,Nacha Pop,Lucha De Gigantes,El Momento,4nheObMzE4K8AIxIICoLgd,Spanish
21,0.545,0.682,6,-5.931,1,0.0289,0.213,0,0.147,0.713,102.703,audio_features,5bycn7SuJzYnxte0W54mNX,spotify:track:5bycn7SuJzYnxte0W54mNX,https://api.spotify.com/v1/tracks/5bycn7SuJzYnxte0W54mNX,https://api.spotify.com/v1/audio-analysis/5bycn7SuJzYnxte0W54mNX,224827,4,Miguel Ríos,Santa Lucia - Remastered 2005,Rocanrol Bumerang,5bycn7SuJzYnxte0W54mNX,Spanish
22,0.748,0.691,2,-8.88,1,0.0354,0.0515,0.00256,0.0494,0.762,131.061,audio_features,1hj6nYHeGclSY0VNTHMi27,spotify:track:1hj6nYHeGclSY0VNTHMi27,https://api.spotify.com/v1/tracks/1hj6nYHeGclSY0VNTHMi27,https://api.spotify.com/v1/audio-analysis/1hj6nYHeGclSY0VNTHMi27,261360,4,Miguel Bosé,Amante Bandido,Bandido,1hj6nYHeGclSY0VNTHMi27,Spanish
23,0.535,0.311,2,-16.09,1,0.0343,0.449,0,0.187,0.32,103.543,audio_features,3X8buu765D59qlQ6z78I8A,spotify:track:3X8buu765D59qlQ6z78I8A,https://api.spotify.com/v1/tracks/3X8buu765D59qlQ6z78I8A,https://api.spotify.com/v1/audio-analysis/3X8buu765D59qlQ6z78I8A,300600,4,Julio Iglesias,Hey - Spanish,Begin the Beguine,3X8buu765D59qlQ6z78I8A,Spanish
24,0.585,0.948,9,-5.062,0,0.0869,0.0143,0.0000336,0.331,0.42,172.365,audio_features,6pYbhX5gYix4ESpbSUArnA,spotify:track:6pYbhX5gYix4ESpbSUArnA,https://api.spotify.com/v1/tracks/6pYbhX5gYix4ESpbSUArnA,https://api.spotify.com/v1/audio-analysis/6pYbhX5gYix4ESpbSUArnA,194560,4,Hombres G,Devuélveme a mi chica,Lo Mejor De Los Hombres G,6pYbhX5gYix4ESpbSUArnA,Spanish
25,0.591,0.813,9,-9.205,0,0.0402,0.187,0.0000182,0.372,0.818,128.7,audio_features,0UY0JLj9kxOlgF6FHogCmX,spotify:track:0UY0JLj9kxOlgF6FHogCmX,https://api.spotify.com/v1/tracks/0UY0JLj9kxOlgF6FHogCmX,https://api.spotify.com/v1/audio-analysis/0UY0JLj9kxOlgF6FHogCmX,174973,4,Mano Negra,Mala Vida,Patchanka,0UY0JLj9kxOlgF6FHogCmX,Spanish
26,0.63,0.408,1,-6.546,0,0.0346,0.457,0,0.417,0.41,112.908,audio_features,2qlmlFRhYMgaekmCuxxK0o,spotify:track:2qlmlFRhYMgaekmCuxxK0o,https://api.spotify.com/v1/tracks/2qlmlFRhYMgaekmCuxxK0o,https://api.spotify.com/v1/audio-analysis/2qlmlFRhYMgaekmCuxxK0o,219280,4,Chiquetete,Esta Cobardía - Remasterizado,Eres Mía (Remasterizado),2qlmlFRhYMgaekmCuxxK0o,Spanish
27,0.348,0.751,0,-12.823,1,0.0494,0.0699,0.000738,0.208,0.886,156.509,audio_features,6uU5OBhGUE1ngSKDj4wtoq,spotify:track:6uU5OBhGUE1ngSKDj4wtoq,https://api.spotify.com/v1/tracks/6uU5OBhGUE1ngSKDj4wtoq,https://api.spotify.com/v1/audio-analysis/6uU5OBhGUE1ngSKDj4wtoq,172733,4,Los Lobos,La Bamba,Just Another Band From East L.A.: A Collection,6uU5OBhGUE1ngSKDj4wtoq,Spanish
28,0.45,0.527,1,-7.212,0,0.0341,0.695,0.00000831,0.0685,0.569,179.474,audio_features,2LmlZvAmT1L0O3iPVSQWOX,spotify:track:2LmlZvAmT1L0O3iPVSQWOX,https://api.spotify.com/v1/tracks/2LmlZvAmT1L0O3iPVSQWOX,https://api.spotify.com/v1/audio-analysis/2LmlZvAmT1L0O3iPVSQWOX,259147,3,Mecano,Hijo de la luna,Entre el Cielo y el Suelo (Bonus Tracks Edition),2LmlZvAmT1L0O3iPVSQWOX,Spanish
