,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist,Track,Album,Track ID,language
37,0.275,0.74,3,-5.511,1,0.0545,0.463,0,0.241,0.362,111.61,audio_features,1jmjyuD8SogPUNwtOnKUWo,spotify:track:1jmjyuD8SogPUNwtOnKUWo,https://api.spotify.com/v1/tracks/1jmjyuD8SogPUNwtOnKUWo,https://api.spotify.com/v1/audio-analysis/1jmjyuD8SogPUNwtOnKUWo,361107,4,Michel Sardou,Les lacs du Connemara,L'album de sa vie 100 titres,1jmjyuD8SogPUNwtOnKUWo,French
38,0.697,0.914,7,-3.872,1,0.0395,0.793,0,0.111,0.896,112.212,audio_features,1Gcv4C4s4aJTtm8THwEdFN,spotify:track:1Gcv4C4s4aJTtm8THwEdFN,https://api.spotify.com/v1/tracks/1Gcv4C4s4aJTtm8THwEdFN,https://api.spotify.com/v1/audio-analysis/1Gcv4C4s4aJTtm8THwEdFN,268240,4,Jeanne Mas,En rouge et noir,best of jeanne mas 2004,1Gcv4C4s4aJTtm8THwEdFN,French
39,0.738,0.599,7,-11.33,1,0.0309,0.147,0.00006,0.218,0.954,128.768,audio_features,0gNkBJ8M4S5pKaxEJuQEI5,spotify:track:0gNkBJ8M4S5pKaxEJuQEI5,https://api.spotify.com/v1/tracks/0gNkBJ8M4S5pKaxEJuQEI5,https://api.spotify.com/v1/audio-analysis/0gNkBJ8M4S5pKaxEJuQEI5,236107,4,Marc Lavoine,Le parking des anges,Marc Lavoine,0gNkBJ8M4S5pKaxEJuQEI5,French
40,0.771,0.85,1,-8.262,0,0.0313,0.153,0.000415,0.0466,0.905,130.889,audio_features,03eUtEW3XBh9dMPqgcn8Vt,spotify:track:03eUtEW3XBh9dMPqgcn8Vt,https://api.spotify.com/v1/tracks/03eUtEW3XBh9dMPqgcn8Vt,https://api.spotify.com/v1/audio-analysis/03eUtEW3XBh9dMPqgcn8Vt,351000,4,Mylène Farmer,Sans contrefaçon - Boy Remix,Sans contrefaçon,03eUtEW3XBh9dMPqgcn8Vt,French
41,0.745,0.732,2,-9.316,1,0.0263,0.0259,0.0000873,0.0779,0.845,118.151,audio_features,0BDFlkfh2YGEw9vDvhNWTJ,spotify:track:0BDFlkfh2YGEw9vDvhNWTJ,https://api.spotify.com/v1/tracks/0BDFlkfh2YGEw9vDvhNWTJ,https://api.spotify.com/v1/audio-analysis/0BDFlkfh2YGEw9vDvhNWTJ,223693,4,Jean-Luc Lahaye,Femme que j'aime,Amour en chanson,0BDFlkfh2YGEw9vDvhNWTJ,French
42,0.714,0.933,7,-6.255,1,0.0652,0.0379,0.0000482,0.0327,0.754,90.51,audio_features,5Zyy1ijzHRoAN89TvW86j5,spotify:track:5Zyy1ijzHRoAN89TvW86j5,https://api.spotify.com/v1/tracks/5Zyy1ijzHRoAN89TvW86j5,https://api.spotify.com/v1/audio-analysis/5Zyy1ijzHRoAN89TvW86j5,250093,4,Michel Sardou,Délire d'amour,L'album de sa vie 100 titres,5Zyy1ijzHRoAN89TvW86j5,French
43,0.703,0.843,8,-7.37,1,0.0613,0.428,0.000144,0.101,0.852,164.607,audio_features,1l8EZBjJIy98iDzkEc76nK,spotify:track:1l8EZBjJIy98iDzkEc76nK,https://api.spotify.com/v1/tracks/1l8EZBjJIy98iDzkEc76nK,https://api.spotify.com/v1/audio-analysis/1l8EZBjJIy98iDzkEc76nK,272000,4,Francis Cabrel,Encore et encore,L'essentiel / 1977 - 2007,1l8EZBjJIy98iDzkEc76nK,French
44,0.556,0.909,4,-9.982,1,0.0444,0.254,0.00058,0.0971,0.633,167.101,audio_features,2UC5XnHA1Wn9FjQmbjNca9,spotify:track:2UC5XnHA1Wn9FjQmbjNca9,https://api.spotify.com/v1/tracks/2UC5XnHA1Wn9FjQmbjNca9,https://api.spotify.com/v1/audio-analysis/2UC5XnHA1Wn9FjQmbjNca9,231960,4,Indochine,L'aventurier,L'aventurier,2UC5XnHA1Wn9FjQmbjNca9,French
45,0.712,0.888,6,-7.086,0,0.0305,0.0635,0.0000209,0.179,0.968,121.005,audio_features,0ktu7Qc4HswTAcy1fLMIsf,spotify:track:0ktu7Qc4HswTAcy1fLMIsf,https://api.spotify.com/v1/tracks/0ktu7Qc4HswTAcy1fLMIsf,https://api.spotify.com/v1/audio-analysis/0ktu7Qc4HswTAcy1fLMIsf,231747,4,Début De Soirée,La vie la nuit,Best of Début de Soirée (Le meilleur des années 80),0ktu7Qc4HswTAcy1fLMIsf,French
46,0.655,0.866,8,-9.591,1,0.0307,0.0592,0.0024,0.0807,0.985,148.549,audio_features,1HkQYQyt8Pufc7HK5Jb9Gh,spotify:track:1HkQYQyt8Pufc7HK5Jb9Gh,https://api.spotify.com/v1/tracks/1HkQYQyt8Pufc7HK5Jb9Gh,https://api.spotify.com/v1/audio-analysis/1HkQYQyt8Pufc7HK5Jb9Gh,280960,4,Indochine,3e sexe,Le Birthday album,1HkQYQyt8Pufc7HK5Jb9Gh,French
